Topic,Count,Name,Representation,Representative_Docs
-1,32805,-1_he_don_the_you,"['he', 'don', 'the', 'you', 'to', 'it', 'of', 'his', 'is', 'and']","[""they don't make them like they're going to."", 'don’t worry, i’m not one of the king’s men.', ""oh honey! he's not going to be an astronaut after all.  he's going to be president!""]"
0,1893,0_him_he_home_guy,"['him', 'he', 'home', 'guy', 'from home', 'just', 'to', 'he ll', 'me', 'll']","['get this guy off my back!', ""he's still working from home."", ""he's working from home.""]"
1,1530,1_trump_president_donald_cabinet,"['trump', 'president', 'donald', 'cabinet', 'presidential', 'speech', 'mr president', 'he', 'for president', 'be president']","[""donald's going to grow up to be president."", 'yes, mr. president.', ""don't you think he will be president?""]"
2,1277,2_don_don know_you don_don worry,"['don', 'don know', 'you don', 'don worry', 'worry', 'know', 'you', 'don wait', 'me', 'wait up']","[""i'll be home late. don't wait up for me."", 'don’t wait up for me.', 'don’t wait up.”']"
3,877,3_tie_dress_jacket_pants,"['tie', 'dress', 'jacket', 'pants', 'costume', 'halloween', 'sir', 'bow', 'wear', 'shirt']","['nice tie but i\'m sorry sir, no shirt, no shoes, no service.""', ""i'm sorry, sir.  no shirt, no shoes, no service."", ""i'm sorry, sir.  no shirt, no shoes, no service.""]"
4,872,4_door_lane_officer_opened,"['door', 'lane', 'officer', 'opened', 'the door', 'his door', 'was', 'jousting', 'officer he', 'joust']","['i was in the jousting lane and he just opened his door right into me!', 'well, he shouldn’t have opened his door into the jousting lane.', 'he opened his door into the jousting lane without looking.']"
5,845,5_king_the king_king of_be king,"['king', 'the king', 'king of', 'be king', 'king for', 'good to', 'for king', 'fit for', 'for day', 'to be']","[""well, you're fit for a king."", 'not so good to be king.', ""it's good to be the king!""]"
6,813,6_feed_feed him_him_eat,"['feed', 'feed him', 'him', 'eat', 'to feed', 'eat him', 'lunch', 'hungry', 'feeding', 'to eat']","['it looks like we just have to feed him.', 'yeah, we have to feed him, but they have to clean up after him.', ""yes, we have to feed him, but at least we don't have to clean up after him.""]"
7,791,7_the king_horses_king horses_all the,"['the king', 'horses', 'king horses', 'all the', 'king', 'men', 'horses and', 'king men', 'all', 'and all']","[""this time it was all the king's horses and all the king's men."", ""so then, all the king's horses and all the king's men..."", ""and all the king's horses . . .""]"
8,729,8_egg_nest egg_nest_an egg,"['egg', 'nest egg', 'nest', 'an egg', 'egg he', 'eggs', 'our nest', 'his nest', 'the egg', 'an']","[""he thinks it's our nest egg."", ""it's his nest egg."", 'his nest egg.']"
9,699,9_drink_wine_red_glass,"['drink', 'wine', 'red', 'glass', 'drinks', 'drinking', 'beer', 'stinger', 'prefers', 'he']","['don’t worry, the wine is red.', ""don't be self-conscious. red wine, white wine; there is no ”right wine.”"", ""i still don't understand why you only drink red wine""]"
10,626,10_brother_big brother_big_your big,"['brother', 'big brother', 'big', 'your big', 'your brother', 'brother is', 'watching', 'is watching', 'your', 'twin']","['here’s your big brother!', 'big brother is here.', 'big brother?']"
11,600,11_disappear_court_contempt_magic,"['disappear', 'court', 'contempt', 'magic', 'magician', 'in contempt', 'make', 'gavel', 'reappear', 'witness']","[""if you don't make my gavel reappear , i will hold you in contempt!"", 'sir, if you make my gavel disappear one more time i will hold you in contempt of court!', 'if you don’t make my gavel reappear immediately i will hold you in contempt of court!']"
12,589,12_father_dad_your father_my father,"['father', 'dad', 'your father', 'my father', 'my dad', 'your dad', 'my', 'your', 'daddy', 'father is']","['your father is here.', ""it's your father."", 'dad?']"
13,573,13_diversity_our_our new_new,"['diversity', 'our', 'our new', 'new', 'hire', 'human', 'our diversity', 'board', 'resources', 'human resources']","['john is our diversity hire.', ""i'd like to introduce you to steve. he's our new diversity hire."", ""he's the new diversity hire.""]"
14,538,14_coffee_barista_jack_latte,"['coffee', 'barista', 'jack', 'latte', 'espresso', 'the barista', 'looks like', 'looks', 'cappuccino', 'cracker']","['yep, looks like the barista brothers have been here.', 'oh, and some peanuts and cracker jack', 'looks like we just missed the barista boys.']"
15,525,15_soup_my soup_waiter_waiter there,"['soup', 'my soup', 'waiter', 'waiter there', 'in my', 'tornado', 'soup waiter', 'there', 'fly', 'my']","[""waiter there's a tornado in my soup"", ""excuse me waiter, there's a fly in my soup"", 'waiter, there’s a fly in my tornado in my soup...']"
16,485,16_work_job_home_from home,"['work', 'job', 'home', 'from home', 'don', 'fired', 'future', 'market', 'don worry', 'worry']","[""you don't have to bring your work home with you."", 'i just don’t understand why they don’t let you work from home', ""don't worry you will work from home""]"
17,432,17_effects_side effects_side_prescription,"['effects', 'side effects', 'side', 'prescription', 'the side', 'medication', 'side effect', 'vet', 'effect', 'sir']","['sorry sir, but the side effects were clearly listed.', 'no sir, any side effects of this medication will be far less than the side effects you are experiencing now.', ""i don't think you need to worry about the side effects.""]"
18,431,18_toast_sorry sir_sorry_toast sorry,"['toast', 'sorry sir', 'sorry', 'toast sorry', 'toastmasters', 'sir', 'the toast', 'toaster', 're toast', 'sir but']","[""i'm sorry sir - we don't serve toast here..."", 'i’m sorry sir, we don’t serve toast', ""i'm sorry sir, but you're toast.""]"
19,425,19_weight_the weight_weight of_the world,"['weight', 'the weight', 'weight of', 'the world', 'shoulders', 'world', 'world on', 'your shoulders', 'chest', 'your chest']","[""don't worry, you've only got the weight of the world on your shoulders."", 'don’t you see? i have the weight of the world on my shoulders”', 'you’re wrong. you don’t have the weight of the world on your shoulders.']"
20,424,20_rock_candy_rock candy_big rock,"['rock', 'candy', 'rock candy', 'big rock', 'candy mountain', 'mountain', 'the big', 'big', 'rock bottom', 'island']","['check out the big rock candy mountain.', 'where’s the big rock candy mountain?', 'it’s the big rock candy mountain!']"
