caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
Please tell Her Majesty Queen Cleopatra that all the reporters have left.,1.0,0.1543033499620919,7,7,0,0,please tell her majesty queen cleopatra that all the reporters have left,2,"['please', 'tell', 'her', 'majesty', 'queen', 'cleopatra', 'that', 'all', 'the', 'reporters', 'have', 'left']",{'reporter'},0
This is the last time I take the advice of a columnist at Cosmopolitan.,1.0555555555555556,0.0571661950475029,18,17,1,0,this is the last time i take the advice of a columnist at cosmopolitan,4,"['this', 'is', 'the', 'last', 'time', 'i', 'take', 'the', 'advice', 'of', 'a', 'columnist', 'at', 'cosmopolitan']",{'columnist'},0
"my feminist blogger girlfriend got it for me..it reminds rich, white men to consider their privilege... kind of flipping the narrative that the fundamental building blocks of society are on our side...",1.0,0.408248290463863,3,3,0,0,my feminist blogger girlfriend got it for me it reminds rich white men to consider their privilege kind of flipping the narrative that the fundamental building blocks of society are on our side,6,"['my', 'feminist', 'blogger', 'girlfriend', 'got', 'it', 'for', 'me', 'it', 'reminds', 'rich', 'white', 'men', 'to', 'consider', 'their', 'privilege', 'kind', 'of', 'flipping', 'the', 'narrative', 'that', 'the', 'fundamental', 'building', 'blocks', 'of', 'society', 'are', 'on', 'our', 'side']",{'blogger'},3
She's one of our embedded journalists...,1.72,0.0839562305528818,75,33,30,12,she is one of our embedded journalists,9,"['she', 'is', 'one', 'of', 'our', 'embedded', 'journalists']",{'journalist'},0
The new NRA publicists are on to something.,1.1875,0.1007782218537318,16,13,3,0,the new nra publicists are on to something,9,"['the', 'new', 'nra', 'publicists', 'are', 'on', 'to', 'something']",{'publicist'},-1
"He may be crazy, but I tell you, embedded journalists get all the chicks.",1.1333333333333333,0.0908513525158996,15,13,2,0,he may be crazy but i tell you embedded journalists get all the chicks,9,"['he', 'may', 'be', 'crazy', 'but', 'i', 'tell', 'you', 'embedded', 'journalists', 'get', 'all', 'the', 'chicks']",{'journalist'},0
HE'S ONE OF THE BRAVEST DOCUMENTARY JOURNALISTS I KNOW.,1.0,0.0953462589245592,11,11,0,0,he is one of the bravest documentary journalists i know,9,"['he', 'is', 'one', 'of', 'the', 'bravest', 'documentary', 'journalists', 'i', 'know']",{'journalist'},-1
"I don't just have a caddy. There's my coach, publicist, and therapist as well.",1.0952380952380951,0.0656383273909058,21,19,2,0,i do not just have a caddy there is my coach publicist and therapist as well,11,"['i', 'do', 'not', 'just', 'have', 'a', 'caddy', 'there', 'is', 'my', 'coach', 'publicist', 'and', 'therapist', 'as', 'well']","{'caddy', 'publicist'}",-1
"""Sir, the reporters are anxious to meet the next president of the United States"".",1.208955223880597,0.0543757528073646,67,54,12,1,sir the reporters are anxious to meet the next president of the united states,12,"['sir', 'the', 'reporters', 'are', 'anxious', 'to', 'meet', 'the', 'next', 'president', 'of', 'the', 'united', 'states']","{'president', 'reporter'}",0
"It's the folk from Publishers Clearing House, Sir. I told them you were busy.",1.1176470588235294,0.0603717816405515,51,47,2,2,it is the folk from publishers clearing house sir i told them you were busy,12,"['it', 'is', 'the', 'folk', 'from', 'publishers', 'clearing', 'house', 'sir', 'i', 'told', 'them', 'you', 'were', 'busy']",{'publisher'},1
